实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
"GAZPROM SOTSINVEST, OOO",组织,US-SSI,制裁,别名: GAZPROM SOTSINVEST; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM SOTSINVEST',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19635,us_ofac_cons,2026-06-19
"DRUZHBA, AO",组织,US-SSI,制裁,别名: DRUZHBA; AKTSIONERNOE OBSHCHESTVO 'DRUZHBA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19690,us_ofac_cons,2026-06-19
"GAZPROM TSENTRREMONT, OOO",组织,US-SSI,制裁,别名: GAZPROM TSENTRREMONT; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TSENTRREMONT',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19641,us_ofac_cons,2026-06-19
Sensetime Group Limited,组织,US-NS-CMIC,制裁,别名: Sensetime Group Ltd,cn; hk,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33114,us_ofac_cons,2026-06-19
Mohammed Maher Yousef BADER,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9657,us_ofac_cons,2026-06-19
"GAZPROM PERSONAL, OOO",组织,US-SSI,制裁,别名: GAZPROM PERSONAL; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM PERSONAL',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19644,us_ofac_cons,2026-06-19
STRAKHOVOVE OBSHCHESTVO SURGUTNEFTEGAZ OOO,组织,US-SSI,制裁,"别名: LLC INSURANCE COMPANY SURGUTNEFTEGAS; LIMITED LIABILITY COMPANY INSURANCE COMPANY SURGUTNEFTEGAS; INSURANCE COMPANY SURGUTNEFTEGAS, LLC",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23571,us_ofac_cons,2026-06-19
"NPF TRANSNEFT, AO",组织,US-SSI,制裁,别名: AKTSIONERNOE OBSHCHESTVO 'NEGOSUDARSTVENNY PENSIONNY FOND 'TRANSNEFT',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22400,us_ofac_cons,2026-06-19
China Electronics Corporation,组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30932,us_ofac_cons,2026-06-19
OJSC SAMOTLORNEFTEGAZ,组织,US-SSI,制裁,别名: SAMOTLORNEFTEGAZ; SAMOTLORNEFTEGAZ JSC,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18269,us_ofac_cons,2026-06-19
OAO NOVATEK,组织,US-SSI,制裁,别名: Novatek; Finansovo-Investitsionnaya Kompaniya Novafininvest OAO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17064,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ YUGORSK, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ YUGORSK'; GAZPROM TRANSGAZ YUGORSK,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19469,us_ofac_cons,2026-06-19
"TRANSNEFT FINANS, OOO",组织,US-SSI,制裁,别名: TRANSNEFT FINANCE LIMITED; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'TRANSNEFT FINANS'; LIMITED LIABILITY COMPANY 'TRANSNEFT FINANS',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22383,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ UKHTA, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ UKHTA'; GAZPROM TRANSGAZ UKHTA,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19632,us_ofac_cons,2026-06-19
"GAZPROM ENERGO, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM ENERGO'; GAZPROM ENERGO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19543,us_ofac_cons,2026-06-19
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU RT-ENERGOEFFEKTIVNOST,组织,US-SSI,制裁,"别名: RT-ENERGO LLC; RT-ENERGOEFFEKTIVNOST LIMITED LIABILITY COMPANY; RT-ENERGO, OOO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18813,us_ofac_cons,2026-06-19
"China Satellite Communications Co., Ltd.",组织,US-NS-CMIC,制裁,别名: CHINA SATCOM,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32069,us_ofac_cons,2026-06-19
Abdul Rahman Fahmi ZEIDAN,个人,US-NS-PLC,制裁,别名: Abdel Rahman Fahmi Rahman ZEIDAN,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9690,us_ofac_cons,2026-06-19
OJSC RN HOLDING,组织,US-SSI,制裁,别名: RN HOLDING OAO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18296,us_ofac_cons,2026-06-19
"BPO PECHATNIKI, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'BUMAZHNO-POLIGRAFICHESKOE OBEDINENIE 'PECHATNIKI'; OPEN JOINT STOCK COMPANY 'BUMAZHNO-POLIGRAFICHESKOYE OBYEDINENIYE 'PECHATNIKI',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20000,us_ofac_cons,2026-06-19
BOM ASSET MANAGEMENT LTD,组织,US-SSI,制裁,,cy,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19995,us_ofac_cons,2026-06-19
Saeed SIAM,个人,US-NS-PLC,制裁,别名: Said Mohammad SEYAM; Saeed Mohammad SIYAM,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9703,us_ofac_cons,2026-06-19
MEDIA-INVEST OOO,组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY MEDIA-INVEST; LLC MEDIA-INVEST,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23557,us_ofac_cons,2026-06-19
Фонд Национального Благосостояния,组织,US-NS-MBS,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=31693,us_ofac_cons,2026-06-19
BANK VTB 24 PUBLIC JOINT STOCK COMPANY,组织,US-SSI,制裁,别名: VTB 24 JSC; VTB 24 PAO; BANK VTB 24 CLOSED JOINT STOCK COMPANY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18719,us_ofac_cons,2026-06-19
Hasan YOUSEF,个人,US-NS-PLC,制裁,别名: Hassan Yousef Dawoud DAR KHALIL; Hasan Youssef Daoud DAR KHALIL,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9682,us_ofac_cons,2026-06-19
TNK Trading International S.A.,组织,US-SSI,制裁,,ch,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28603,us_ofac_cons,2026-06-19
ROSNEFT TRADING S.A.,组织,US-SSI,制裁,,ch,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18299,us_ofac_cons,2026-06-19
"MEZHDUNARODNAYA UPRAVLYAYUSHCHAYA KOMPANIYA, AO",组织,US-SSI,制裁,别名: OJSC INTERNATIONAL MANAGEMENT COMPANY; INTERNATIONAL MANAGEMENT COMPANY OJSC; JOINT STOCK COMPANY 'MEZHDUNARODNAYA UPRAVLYAYUSHCHAYA KOMPANIYA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20006,us_ofac_cons,2026-06-19
Costar Group Co,组织,US-NS-CMIC,制裁,别名: Costar Group Co,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32107,us_ofac_cons,2026-06-19
VEB CAPITAL,组织,US-SSI,制裁,别名: OOO VEB KAPITAL; Obshchestvo S Ogranichennoi Otvetstvennostyu Investitsionna Ya Kompaniya Vneshekonombanka; LLC VEB CAPITAL,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18286,us_ofac_cons,2026-06-19
