实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
Muhammad Ramez Tourjuman,个人,EU-SYR,制裁,别名: Tourjman Mohammad Ramez; Tourjuman Mohammed Ramez; Tourjman Mohamed Ramez,sy,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401517,eu_sanctions,2026-06-19
Mohammad AL-AHMED,个人,EU-SYR,制裁,别名: Mohammed al-Ahmad; Mohamed al-Ahmed; Mohamed al-Ahmad,sy,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1450,eu_sanctions,2026-06-19
Андрей Станиславович ШОХИН,个人,EU-UKR,制裁,,ru,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R2476,eu_sanctions,2026-06-19
Aliaksei Mikalaevich AURAMENKA,个人,EU-BLR,制裁,别名: Aleksej Nikolajevitj AVRAMENKO; Аляксей Мікалаевіч АЎРАМЕНКА; Alexey Nikolaevich AVRAMENKO,by,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3592,eu_sanctions,2026-06-19
Ilunga KAMPETE,个人,EU-COD,制裁,别名: Gaston Hughes Ilunga Kampete; Hugues Raston Ilunga Kampete,cd,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1081,eu_sanctions,2026-06-19
Vyacheslav Anatolevich Petrov,个人,EU-UKR,制裁,别名: Vjatjeslav Anatoljevitj PETROV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4154,eu_sanctions,2026-06-19
Achmat Anzorovitj SALPAGAROV,个人,EU-UKR,制裁,别名: Achmat Anzorovitj SALPAGAROV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4449,eu_sanctions,2026-06-19
Юрий Викторович ФЁДОРОВ,个人,EU-UKR,制裁,别名: Юрий Викторович ФЁДОРОВ,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ%3AL_202500527&qid=1742218670627,eu_sanctions,2026-06-19
Алексей Николаевич КОНДРАТЕНКО,个人,EU-UKR,制裁,别名: Aleksej Nikolajevitj KONDRATENKO,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4441,eu_sanctions,2026-06-19
Valery Vladimirovich SEMYONOV,个人,EU-UKR,制裁,别名: Валерий Владимирович СЕМЁНОВ,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ%3AL_202500527&qid=1742218670627,eu_sanctions,2026-06-19
